frame,timestamp,L,a,b,agtron_interpolado,origem_video
324,10.58,165.941,130.123,130.928,92.781,v1
325,10.612,165.675,130.153,131.102,92.774,v1
326,10.644,164.575,130.551,130.81,92.766,v1
327,10.68,165.703,130.054,130.927,92.757,v1
328,10.712,165.523,129.966,130.804,92.75,v1
329,10.744,165.464,130.341,130.686,92.742,v1
330,10.776,165.874,130.442,130.772,92.735,v1
331,10.808,166.348,130.003,131.088,92.727,v1
332,10.844,165.658,130.26,130.522,92.719,v1
333,10.876,165.693,130.026,131.042,92.711,v1
334,10.908,165.662,129.719,130.795,92.704,v1
335,10.94,165.555,130.085,130.589,92.696,v1
336,10.972,164.319,129.811,130.578,92.689,v1
337,11.004,165.148,130.038,130.713,92.681,v1
338,11.04,167.166,129.84,130.807,92.672,v1
339,11.072,166.959,129.953,130.429,92.665,v1
340,11.104,167.753,129.519,130.499,92.657,v1
341,11.136,167.683,129.457,130.283,92.65,v1
342,11.168,167.431,129.684,130.051,92.642,v1
343,11.204,166.638,129.449,130.38,92.634,v1
344,11.236,166.858,129.555,130.182,92.626,v1
345,11.268,166.684,129.447,129.816,92.619,v1
346,11.3,167.76,129.493,129.781,92.611,v1
347,11.332,166.39,129.617,130.146,92.604,v1
348,11.368,167.159,129.604,130.369,92.595,v1
349,11.4,168.536,129.384,130.543,92.588,v1
350,11.432,167.913,129.532,130.211,92.58,v1
351,11.464,167.832,129.804,130.504,92.572,v1
352,11.496,167.179,130.161,130.839,92.565,v1
353,11.528,166.625,130.032,131.082,92.557,v1
354,11.564,165.686,130.082,130.859,92.549,v1
355,11.596,167.304,130.105,131.063,92.541,v1
356,11.628,165.498,130.057,130.843,92.534,v1
357,11.66,164.769,130.139,130.692,92.526,v1
358,11.692,164.601,130.235,130.883,92.519,v1
359,11.728,165.888,130.236,130.906,92.51,v1
360,11.76,166.282,130.137,130.934,92.503,v1
361,11.792,165.619,130.017,130.663,92.495,v1
362,11.824,164.823,130.257,131.034,92.487,v1
363,11.856,165.082,130.087,130.971,92.48,v1
364,11.892,165.047,130.584,130.917,92.471,v1
365,11.924,165.568,130.321,131.15,92.464,v1
366,11.956,165.799,130.493,130.835,92.456,v1
367,11.988,165.708,130.32,130.948,92.449,v1
368,12.02,165.421,130.427,130.68,92.441,v1
369,12.052,165.118,130.557,130.916,92.434,v1
370,12.088,165.361,130.562,130.791,92.425,v1
371,12.12,165.211,130.146,130.985,92.418,v1
372,12.152,164.99,130.316,131.438,92.41,v1
373,12.184,163.593,130.616,131.152,92.402,v1
374,12.216,163.429,130.282,131.28,92.395,v1
375,12.252,164.495,130.725,130.715,92.386,v1
376,12.284,164.494,130.534,131.156,92.379,v1
377,12.316,164.593,130.434,130.968,92.371,v1
378,12.348,164.481,130.31,131.218,92.364,v1
379,12.38,164.05,130.561,131.121,92.356,v1
380,12.416,164.689,130.287,131.395,92.348,v1
381,12.448,164.554,129.985,131.231,92.34,v1
382,12.48,165.283,129.836,131.019,92.333,v1
383,12.512,165.449,129.642,130.979,92.325,v1
384,12.544,165.909,129.7,131.151,92.317,v1
385,12.576,165.122,129.809,130.902,92.31,v1
386,12.612,166.616,129.831,130.578,92.301,v1
387,12.644,166.912,129.661,130.653,92.294,v1
388,12.676,166.74,129.666,130.123,92.286,v1
389,12.708,166.893,129.472,130.711,92.279,v1
390,12.74,166.719,129.49,131.077,92.271,v1
391,12.776,165.151,129.58,130.413,92.263,v1
392,12.808,165.309,129.839,130.432,92.255,v1
393,12.84,166.747,129.705,130.323,92.248,v1
394,12.872,166.486,129.537,130.302,92.24,v1
395,12.904,166.139,129.617,130.413,92.232,v1
396,12.94,165.532,129.709,130.7,92.224,v1
397,12.972,165.494,129.729,130.605,92.216,v1
398,13.004,165.854,129.627,130.925,92.209,v1
399,13.036,166.458,129.317,130.661,92.201,v1
400,13.068,166.397,129.56,130.651,92.194,v1
401,13.1,166.29,129.659,130.365,92.186,v1
402,13.136,166.403,129.355,130.62,92.178,v1
403,13.168,166.242,129.503,130.344,92.17,v1
404,13.2,166.983,129.616,130.112,92.163,v1
405,13.232,167.956,129.134,130.341,92.155,v1
406,13.264,168.504,129.288,130.253,92.148,v1
407,13.3,165.762,129.063,130.251,92.139,v1
408,13.332,166.376,129.151,130.042,92.131,v1
409,13.364,166.41,129.118,130.009,92.124,v1
410,13.396,166.117,128.775,130.183,92.116,v1
411,13.428,165.929,128.863,130.196,92.109,v1
412,13.464,166.381,128.702,130.054,92.1,v1
413,13.496,162.785,128.825,129.909,92.093,v1
414,13.528,162.487,129.04,129.825,92.085,v1
415,13.56,162.807,128.525,129.815,92.078,v1
416,13.592,163.312,128.739,129.889,92.07,v1
417,13.624,163.839,128.62,129.903,92.063,v1
418,13.66,163.394,128.682,129.866,92.054,v1
419,13.692,163.277,128.977,129.758,92.046,v1
420,13.724,162.842,128.535,130.069,92.039,v1
421,13.756,163.452,128.694,130.164,92.031,v1
422,13.788,160.708,128.624,130.33,92.024,v1
423,13.824,159.955,128.973,130.031,92.015,v1
424,13.856,159.632,128.924,130.132,92.008,v1
425,13.888,159.639,128.932,130.394,92.0,v1
426,13.92,159.473,129.289,130.161,91.993,v1
427,13.952,159.862,129.022,130.462,91.985,v1
428,13.988,158.754,129.16,130.335,91.977,v1
429,14.02,159.081,129.338,130.112,91.969,v1
430,14.052,159.532,129.118,130.262,91.961,v1
431,14.084,160.515,129.152,130.274,91.954,v1
432,14.116,159.28,129.206,130.415,91.946,v1
433,14.148,157.441,129.542,130.478,91.939,v1
434,14.184,157.934,129.312,130.852,91.93,v1
435,14.216,156.614,129.189,130.26,91.923,v1
436,14.248,156.056,129.422,130.686,91.915,v1
437,14.28,156.522,129.617,130.744,91.908,v1
438,14.312,157.113,129.266,130.811,91.9,v1
439,14.348,156.688,129.521,130.736,91.892,v1
440,14.38,156.737,129.507,130.624,91.884,v1
441,14.412,156.418,129.737,130.645,91.877,v1
442,14.444,155.528,129.714,130.918,91.869,v1
443,14.476,155.655,129.726,131.014,91.861,v1
444,14.512,155.002,129.854,130.975,91.853,v1
445,14.544,154.702,130.001,131.365,91.845,v1
446,14.576,154.177,130.198,131.744,91.838,v1
447,14.608,153.731,130.413,131.225,91.83,v1
