frame,timestamp,L,a,b,agtron_interpolado,origem_video
463,15.132,144.312,129.095,129.744,91.039,v1
464,15.164,144.649,129.117,130.116,91.03,v1
465,15.196,145.508,128.941,130.212,91.021,v1
466,15.232,144.408,128.991,130.199,91.011,v1
467,15.264,143.936,129.127,130.378,91.002,v1
468,15.296,142.964,129.202,130.119,90.993,v1
469,15.328,143.771,128.801,130.372,90.984,v1
470,15.36,143.927,128.97,130.015,90.975,v1
471,15.396,144.782,128.683,130.195,90.965,v1
472,15.428,144.718,128.925,129.901,90.957,v1
473,15.46,144.605,128.785,130.003,90.948,v1
474,15.492,145.902,128.694,130.475,90.939,v1
475,15.524,146.084,128.809,130.14,90.93,v1
476,15.56,146.013,128.699,130.291,90.92,v1
477,15.592,145.316,128.42,130.231,90.911,v1
478,15.624,145.718,128.643,130.312,90.902,v1
479,15.656,146.583,128.634,130.358,90.893,v1
480,15.688,147.045,128.28,130.097,90.884,v1
481,15.72,146.632,128.48,129.653,90.875,v1
482,15.756,146.266,128.312,130.221,90.865,v1
483,15.788,147.207,128.482,130.184,90.856,v1
484,15.82,146.398,128.178,130.078,90.847,v1
485,15.852,146.378,128.276,129.915,90.839,v1
486,15.884,147.839,128.418,130.05,90.83,v1
487,15.92,146.906,128.329,130.207,90.82,v1
488,15.952,146.496,128.202,130.22,90.811,v1
489,15.984,146.701,128.318,130.088,90.802,v1
490,16.016,145.301,128.416,129.555,90.793,v1
491,16.048,146.295,128.028,129.521,90.784,v1
492,16.084,144.686,128.079,129.762,90.774,v1
493,16.116,143.908,127.803,129.518,90.765,v1
494,16.148,145.985,127.84,129.672,90.756,v1
495,16.18,145.048,127.949,129.326,90.747,v1
496,16.212,147.015,128.033,129.249,90.738,v1
497,16.244,147.283,127.875,129.622,90.73,v1
498,16.28,147.583,127.712,129.474,90.72,v1
499,16.312,148.233,127.781,129.517,90.711,v1
500,16.344,150.082,127.64,129.53,90.702,v1
501,16.376,148.387,127.786,129.366,90.693,v1
502,16.408,147.4,127.755,129.393,90.684,v1
503,16.444,148.909,127.865,129.539,90.674,v1
504,16.476,147.101,127.768,129.554,90.665,v1
505,16.508,147.193,127.573,129.606,90.656,v1
506,16.54,147.27,127.349,129.531,90.647,v1
507,16.572,147.996,127.548,129.222,90.638,v1
508,16.608,147.682,127.511,129.207,90.628,v1
509,16.64,147.967,127.38,129.026,90.619,v1
510,16.672,147.288,126.896,129.233,90.611,v1
511,16.704,147.31,126.887,129.093,90.602,v1
512,16.736,147.708,127.243,128.756,90.593,v1
513,16.768,148.609,127.204,129.224,90.584,v1
514,16.804,150.698,127.643,129.249,90.574,v1
515,16.836,148.66,127.62,129.189,90.565,v1
516,16.868,148.691,127.45,129.114,90.556,v1
517,16.9,147.148,127.183,128.849,90.547,v1
518,16.932,146.962,127.3,128.802,90.538,v1
519,16.968,146.011,127.693,128.711,90.528,v1
520,17.0,143.581,127.064,128.913,90.519,v1
521,17.032,144.193,127.296,128.724,90.51,v1
522,17.064,144.663,127.129,129.106,90.502,v1
523,17.096,146.739,127.75,129.074,90.493,v1
524,17.132,146.668,127.892,129.167,90.483,v1
525,17.164,146.329,127.609,129.396,90.474,v1
526,17.196,146.222,127.973,129.508,90.465,v1
527,17.228,146.466,127.857,129.22,90.456,v1
528,17.26,145.945,127.63,129.485,90.447,v1
529,17.292,146.958,127.682,129.436,90.438,v1
530,17.328,146.988,127.611,129.29,90.428,v1
531,17.36,147.318,127.485,129.487,90.419,v1
532,17.392,146.903,127.799,129.316,90.41,v1
533,17.424,146.897,127.682,129.245,90.401,v1
534,17.456,146.297,127.49,129.036,90.393,v1
535,17.492,145.641,127.192,129.283,90.383,v1
536,17.524,145.619,127.5,128.642,90.374,v1
537,17.556,145.339,127.151,128.759,90.365,v1
538,17.588,143.15,127.223,128.832,90.356,v1
539,17.62,144.279,127.228,128.653,90.347,v1
540,17.656,142.958,127.085,128.63,90.337,v1
541,17.688,144.237,127.094,128.88,90.328,v1
542,17.72,145.456,127.124,128.66,90.319,v1
543,17.752,145.2,127.16,128.532,90.31,v1
544,17.784,144.908,127.178,128.357,90.301,v1
545,17.816,146.811,127.127,128.639,90.292,v1
546,17.852,147.096,127.067,128.31,90.282,v1
547,17.884,147.015,126.892,128.616,90.274,v1
548,17.916,146.139,126.737,128.425,90.265,v1
549,17.948,146.683,127.068,128.536,90.256,v1
550,17.98,146.705,127.013,128.572,90.247,v1
551,18.016,145.727,127.139,128.417,90.237,v1
552,18.048,145.733,126.868,128.645,90.228,v1
553,18.08,144.655,126.578,128.627,90.219,v1
554,18.112,144.781,126.686,128.183,90.21,v1
